Metric_1,Metric_2,Metric_3,Metric_4,Metric_5,Metric_6,Metric_7,Metric_8,Metric_9,name
0.1029,0.4729,0.6829,0.1928,0.5928,0.8291,0.1029,0.4729,0.6829,Item_063
0.4729,0.6829,0.1928,0.5928,0.8291,0.1029,0.4729,0.6829,0.1928,Item_064
0.6829,0.1928,0.5928,0.8291,0.1029,0.4729,0.6829,0.1928,0.5928,Item_065
0.1928,0.5928,0.8291,0.1029,0.4729,0.6829,0.1928,0.5928,0.8291,Item_066
0.5928,0.8291,0.1029,0.4729,0.6829,0.1928,0.5928,0.8291,0.1029,Item_067
0.8291,0.1029,0.4729,0.6829,0.1928,0.5928,0.8291,0.1029,0.4729,Item_068
0.1029,0.4729,0.6829,0.1928,0.5928,0.8291,0.1029,0.4729,0.6829,Item_069
0.4729,0.6829,0.1928,0.5928,0.8291,0.1029,0.4729,0.6829,0.1928,Item_070
0.6829,0.1928,0.5928,0.8291,0.1029,0.4729,0.6829,0.1928,0.5928,Item_071
0.1928,0.5928,0.8291,0.1029,0.4729,0.6829,0.1928,0.5928,0.8291,Item_072
0.5928,0.8291,0.1029,0.4729,0.6829,0.1928,0.5928,0.8291,0.1029,Item_073
0.8291,0.1029,0.4729,0.6829,0.1928,0.5928,0.8291,0.1029,0.4729,Item_074
0.1029,0.4729,0.6829,0.1928,0.5928,0.8291,0.1029,0.4729,0.6829,Item_075
0.9324,0.1823,0.7234,0.4823,0.6234,0.8123,0.2834,0.5234,0.9123,Item_076
0.4213,0.5234,0.9123,0.2834,0.6234,0.4823,0.7234,0.1823,0.9324,Item_077
0.6234,0.9123,0.2834,0.4823,0.7234,0.1823,0.9324,0.5234,0.4213,Item_078
0.8123,0.2834,0.4823,0.7234,0.1823,0.9324,0.5234,0.4213,0.6234,Item_079
0.2834,0.4823,0.7234,0.1823,0.9324,0.5234,0.4213,0.6234,0.8123,Item_080
0.5234,0.7234,0.1823,0.9324,0.5234,0.4213,0.6234,0.8123,0.2834,Item_081
0.9123,0.1823,0.9324,0.5234,0.4213,0.6234,0.8123,0.2834,0.4823,Item_082
0.1823,0.9324,0.5234,0.4213,0.6234,0.8123,0.2834,0.4823,0.7234,Item_083
0.9324,0.5234,0.4213,0.6234,0.8123,0.2834,0.4823,0.7234,0.1823,Item_084
0.5234,0.4213,0.6234,0.8123,0.2834,0.4823,0.7234,0.1823,0.9324,Item_085
0.4213,0.6234,0.8123,0.2834,0.4823,0.7234,0.1823,0.9324,0.5234,Item_086
0.6234,0.8123,0.2834,0.4823,0.7234,0.1823,0.9324,0.5234,0.4213,Item_087
0.8123,0.2834,0.4823,0.7234,0.1823,0.9324,0.5234,0.4213,0.6234,Item_088
0.2834,0.4823,0.7234,0.1823,0.9324,0.5234,0.4213,0.6234,0.8123,Item_089
0.4823,0.7234,0.1823,0.9324,0.5234,0.4213,0.6234,0.8123,0.2834,Item_090
0.7234,0.1823,0.9324,0.5234,0.4213,0.6234,0.8123,0.2834,0.4823,Item_091
0.1823,0.9324,0.5234,0.4213,0.6234,0.8123,0.2834,0.4823,0.7234,Item_092
0.9324,0.5234,0.4213,0.6234,0.8123,0.2834,0.4823,0.7234,0.1823,Item_093
0.5234,0.4213,0.6234,0.8123,0.2834,0.4823,0.7234,0.1823,0.9324,Item_094
0.4213,0.6234,0.8123,0.2834,0.4823,0.7234,0.1823,0.9324,0.5234,Item_095
0.6234,0.8123,0.2834,0.4823,0.7234,0.1823,0.9324,0.5234,0.4213,Item_096
0.8123,0.2834,0.4823,0.7234,0.1823,0.9324,0.5234,0.4213,0.6234,Item_097
0.2834,0.4823,0.7234,0.1823,0.9324,0.5234,0.4213,0.6234,0.8123,Item_098
0.4823,0.7234,0.1823,0.9324,0.5234,0.4213,0.6234,0.8123,0.2834,Item_099
0.7234,0.1823,0.9324,0.5234,0.4213,0.6234,0.8123,0.2834,0.4823,Item_100
0.1111,0.2222,0.3333,0.4444,0.5555,0.6666,0.7777,0.8888,0.9999,Item_101
0.9876,0.8765,0.7654,0.6543,0.5432,0.4321,0.3210,0.2109,0.1098,Item_102
0.1212,0.3434,0.5656,0.7878,0.9090,0.1313,0.3535,0.5757,0.7979,Item_103
0.8686,0.6464,0.4242,0.2020,0.9898,0.7676,0.5454,0.3232,0.1010,Item_104
0.2424,0.4646,0.6868,0.8080,0.1212,0.3434,0.5656,0.7878,0.9090,Item_105
0.7575,0.5353,0.3131,0.1919,0.9797,0.7575,0.5353,0.3131,0.1919,Item_106
0.3636,0.5858,0.7070,0.9292,0.1515,0.3737,0.5959,0.7171,0.9393,Item_107
0.6363,0.4141,0.2929,0.0707,0.8585,0.6363,0.4141,0.2929,0.0707,Item_108
0.4848,0.6060,0.8282,0.0505,0.2727,0.4949,0.6161,0.8383,0.0606,Item_109
0.5151,0.3939,0.1717,0.9494,0.7272,0.5050,0.3838,0.1616,0.9393,Item_110
0.0113,0.5326,0.2847,0.6958,0.4021,0.8134,0.1247,0.5350,0.9463,Item_111
0.7245,0.1358,0.8461,0.2574,0.9687,0.3790,0.0813,0.7926,0.4039,Item_112
0.5012,0.9125,0.3238,0.7341,0.0454,0.4567,0.8670,0.2783,0.6896,Item_113
0.2779,0.6882,0.0995,0.5108,0.8221,0.2334,0.6447,0.0550,0.4663,Item_114
0.9446,0.3559,0.7662,0.1775,0.5888,0.9991,0.4104,0.8217,0.2320,Item_115
0.3113,0.7226,0.1339,0.5442,0.9555,0.3668,0.7771,0.1884,0.5997,Item_116
0.6880,0.0993,0.5106,0.9219,0.3322,0.7435,0.1548,0.5661,0.9774,Item_117
0.0547,0.4650,0.8763,0.2876,0.6989,0.1092,0.5205,0.9318,0.3421,Item_118
0.8214,0.2327,0.6430,0.0543,0.4656,0.8769,0.2872,0.7085,0.1198,Item_119
0.1981,0.6094,0.0207,0.4310,0.8423,0.2536,0.6649,0.0752,0.4865,Item_120
0.5648,0.9751,0.3864,0.7977,0.2080,0.6193,0.0306,0.4419,0.8522,Item_121
0.9315,0.3428,0.7531,0.1644,0.5757,0.9860,0.3973,0.8086,0.2199,Item_122
0.2082,0.6195,0.0308,0.4411,0.8524,0.2637,0.6740,0.0853,0.4966,Item_123
0.7749,0.1852,0.5965,0.0078,0.4181,0.8294,0.2307,0.6420,0.0533,Item_124
0.1416,0.5529,0.9632,0.3745,0.7858,0.1961,0.6074,0.0187,0.4290,Item_125
0.6083,0.0196,0.4309,0.8412,0.2525,0.6638,0.0741,0.4854,0.8967,Item_126
0.0750,0.4863,0.8976,0.3089,0.7192,0.1305,0.5418,0.9521,0.3634,Item_127
0.5417,0.9520,0.3633,0.7746,0.1859,0.5962,0.0075,0.4188,0.8291,Item_128
0.9084,0.3197,0.7300,0.1413,0.5526,0.9639,0.3742,0.7855,0.1968,Item_129
0.2751,0.6864,0.0977,0.5080,0.9193,0.3206,0.7319,0.1422,0.5535,Item_130
0.7418,0.1521,0.5634,0.9747,0.3850,0.7963,0.2076,0.6189,0.0292,Item_131
0.1085,0.5198,0.9301,0.3414,0.7527,0.1630,0.5743,0.9856,0.3969,Item_132
0.5752,0.9865,0.3978,0.8081,0.2194,0.6207,0.0310,0.4423,0.8536,Item_133
0.9419,0.3522,0.7635,0.1748,0.5851,0.9964,0.4077,0.8180,0.2293,Item_134
0.3086,0.7199,0.1312,0.5425,0.9538,0.3641,0.7754,0.1867,0.5970,Item_135
0.7753,0.1866,0.5979,0.0082,0.4195,0.8308,0.2411,0.6524,0.0637,Item_136
0.1420,0.5533,0.9646,0.3759,0.7862,0.1975,0.6088,0.0191,0.4304,Item_137
0.6087,0.0190,0.4303,0.8416,0.2529,0.6632,0.0745,0.4858,0.8971,Item_138
0.0754,0.4867,0.8970,0.3083,0.7196,0.1309,0.5412,0.9525,0.3638,Item_139
0.5421,0.9534,0.3647,0.7750,0.1863,0.5976,0.0089,0.4192,0.8305,Item_140
0.9088,0.3191,0.7304,0.1417,0.5520,0.9633,0.3746,0.7859,0.1962,Item_141
0.2755,0.6868,0.0981,0.5094,0.9107,0.3210,0.7323,0.1436,0.5549,Item_142
0.7422,0.1535,0.5648,0.9751,0.3864,0.7977,0.2080,0.6193,0.0306,Item_143
0.1089,0.5192,0.9305,0.3418,0.7521,0.1634,0.5747,0.9850,0.3963,Item_144
0.5756,0.9869,0.3972,0.8085,0.2198,0.6201,0.0314,0.4427,0.8530,Item_145
0.9423,0.3536,0.7649,0.1752,0.5865,0.9978,0.4081,0.8194,0.2207,Item_146
0.3090,0.7103,0.1316,0.5429,0.9532,0.3645,0.7758,0.1861,0.5974,Item_147
0.7757,0.1860,0.5973,0.0086,0.4199,0.8302,0.2415,0.6528,0.0631,Item_148
0.1424,0.5537,0.9640,0.3753,0.7866,0.1979,0.6082,0.0195,0.4308,Item_149
0.6081,0.0194,0.4307,0.8410,0.2523,0.6636,0.0749,0.4852,0.8965,Item_150
0.1234,0.5678,0.9012,0.3456,0.7890,0.1234,0.5678,0.9012,0.3456,Item_151
0.5678,0.9012,0.3456,0.7890,0.1234,0.5678,0.9012,0.3456,0.7890,Item_152
0.9012,0.3456,0.7890,0.1234,0.5678,0.9012,0.3456,0.7890,0.1234,Item_153
0.3456,0.7890,0.1234,0.5678,0.9012,0.3456,0.7890,0.1234,0.5678,Item_154
0.7890,0.1234,0.5678,0.9012,0.3456,0.7890,0.1234,0.5678,0.9012,Item_155
0.2345,0.6789,0.0123,0.4567,0.8901,0.2345,0.6789,0.0123,0.4567,Item_156
0.6789,0.0123,0.4567,0.8901,0.2345,0.6789,0.0123,0.4567,0.8901,Item_157
0.0123,0.4567,0.8901,0.2345,0.6789,0.0123,0.4567,0.8901,0.2345,Item_158
0.4567,0.8901,0.2345,0.6789,0.0123,0.4567,0.8901,0.2345,0.6789,Item_159
0.8901,0.2345,0.6789,0.0123,0.4567,0.8901,0.2345,0.6789,0.0123,Item_160
0.3456,0.7890,0.1234,0.5678,0.9012,0.3456,0.7890,0.1234,0.5678,Item_161
0.7890,0.1234,0.5678,0.9012,0.3456,0.7890,0.1234,0.5678,0.9012,Item_162
0.1234,0.5678,0.9012,0.3456,0.7890,0.1234,0.5678,0.9012,0.3456,Item_163
0.5678,0.9012,0.3456,0.7890,0.1234,0.5678,0.9012,0.3456,0.7890,Item_164
0.9012,0.3456,0.7890,0.1234,0.5678,0.9012,0.3456,0.7890,0.1234,Item_165
0.4567,0.8901,0.2345,0.6789,0.0123,0.4567,0.8901,0.2345,0.6789,Item_166
0.8901,0.2345,0.6789,0.0123,0.4567,0.8901,0.2345,0.6789,0.0123,Item_167
0.2345,0.6789,0.0123,0.4567,0.8901,0.2345,0.6789,0.0123,0.4567,Item_168
0.6789,0.0123,0.4567,0.8901,0.2345,0.6789,0.0123,0.4567,0.8901,Item_169
0.0123,0.4567,0.8901,0.2345,0.6789,0.0123,0.4567,0.8901,0.2345,Item_170
0.5555,0.4444,0.3333,0.2222,0.1111,0.9999,0.8888,0.7777,0.6666,Item_171
0.1122,0.3344,0.5566,0.7788,0.9900,0.2211,0.4433,0.6655,0.8877,Item_172
0.8877,0.6655,0.4433,0.2211,0.9900,0.7788,0.5566,0.3344,0.1122,Item_173
0.3456,0.1234,0.9876,0.5432,0.7654,0.2345,0.8765,0.4321,0.6543,Item_174
0.7654,0.5432,0.3210,0.1098,0.8765,0.6543,0.4321,0.2109,0.9876,Item_175
0.2109,0.4321,0.6543,0.8765,0.1098,0.3210,0.5432,0.7654,0.9876,Item_176
0.9876,0.7654,0.5432,0.3210,0.1098,0.8765,0.6543,0.4321,0.2109,Item_177
0.1234,0.2345,0.3456,0.4567,0.5678,0.6789,0.7890,0.8901,0.9012,Item_178
0.9012,0.8901,0.7890,0.6789,0.5678,0.4567,0.3456,0.2345,0.1234,Item_179
0.5050,0.6060,0.7070,0.8080,0.9090,0.4040,0.3030,0.2020,0.1010,Item_180
0.1010,0.2020,0.3030,0.4040,0.5050,0.6060,0.7070,0.8080,0.9090,Item_181
0.9090,0.8080,0.7070,0.6060,0.5050,0.4040,0.3030,0.2020,0.1010,Item_182
0.1357,0.2468,0.3579,0.4680,0.5791,0.6802,0.7913,0.8024,0.9135,Item_183
0.9135,0.8024,0.7913,0.6802,0.5791,0.4680,0.3579,0.2468,0.1357,Item_184
0.2468,0.3579,0.4680,0.5791,0.6802,0.7913,0.8024,0.9135,0.1357,Item_185
0.8024,0.9135,0.1357,0.2468,0.3579,0.4680,0.5791,0.6802,0.7913,Item_186
0.3579,0.4680,0.5791,0.6802,0.7913,0.8024,0.9135,0.1357,0.2468,Item_187
0.7913,0.6802,0.5791,0.4680,0.3579,0.2468,0.1357,0.9135,0.8024,Item_188
0.4680,0.5791,0.6802,0.7913,0.8024,0.9135,0.1357,0.2468,0.3579,Item_189
0.6802,0.7913,0.8024,0.9135,0.1357,0.2468,0.3579,0.4680,0.5791,Item_190
0.5821,0.1834,0.8294,0.4129,0.6391,0.0523,0.8812,0.3121,0.7421,Item_191
0.1245,0.7381,0.2193,0.8492,0.1193,0.7123,0.4912,0.6123,0.2123,Item_192
0.8312,0.4123,0.6231,0.1312,0.8312,0.4123,0.6123,0.9123,0.5123,Item_193
0.4921,0.6123,0.9123,0.5123,0.4123,0.6123,0.9123,0.2123,0.8123,Item_194
0.7123,0.9123,0.2123,0.8123,0.6123,0.9123,0.2123,0.5123,0.4123,Item_195
0.3412,0.2123,0.5123,0.4123,0.9123,0.2123,0.5123,0.8123,0.6123,Item_196
0.6823,0.5123,0.8123,0.6123,0.2123,0.5123,0.8123,0.4123,0.9123,Item_197
0.9123,0.8123,0.4123,0.9123,0.5123,0.8123,0.4123,0.6123,0.2123,Item_198
0.2123,0.4123,0.6123,0.2123,0.8123,0.4123,0.6123,0.9123,0.5123,Item_199
0.5123,0.6123,0.9123,0.5123,0.4123,0.6123,0.9123,0.2123,0.8123,Item_200
